            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
            0.05         515.172         492.844     2.54579e-18         12.5435        -9.04808    -1.89164e-05        -242.061         263.707          225.71        0.292124         1.65816
             0.1         83.7727         149.506     2.01931e-17         6.68793        -7.17495        -1.99761        -72.3215         47.2085         49.7465        0.412286         1.31152
            0.15           132.1         210.785     1.12673e-16         4.11812        -5.63831          1.4376        -103.167         67.7831         60.7084         0.37667         1.16253
             0.2         66.4492         174.123     -3.3184e-17         4.10678        -3.69446         3.16647        -85.4904         35.3283         31.3455        0.267062         1.23868
            0.25         51.9503         154.681     3.70686e-17         4.02926        -2.17943         2.16028        -76.2106          27.211         8.86634        0.307305         1.04369
             0.3         87.5435         232.782     5.74661e-17         3.30912        -1.92639       -0.181811        -116.625         46.2475         43.2646        0.175297        0.920407
            0.35         240.236         369.411    -6.46246e-18         2.43213        -2.42839         -1.3301        -185.274         123.483         73.2061        0.325948        0.883209
             0.4         150.672          282.29    -9.79802e-18          1.7693        -2.37776      -0.0129463        -140.724         77.7442         32.0511       0.0670964        0.925319
            0.45          175.93         295.647     5.20399e-17         1.83531        -1.73916         2.20875        -146.281         90.2558         7.43041        0.248934        0.931173
             0.5         159.582          304.45     2.53064e-17         2.09561        -1.14253         2.36983        -150.637         80.0902        -22.9231        0.394068        0.972396
            0.55         144.284         311.599     8.19525e-17         1.82851       -0.971253        0.308829        -154.659         72.0903        -32.0227       0.0980539        0.752472
             0.6         173.978         348.731    -1.09674e-17         1.34912        -1.36476        -1.80099        -177.264         90.2105        -42.3546        0.351585        0.790793
            0.65         195.169         313.974     6.99263e-17        0.986915        -1.63577         -1.9236        -160.269         101.705        -48.6005        0.354226        0.790124
             0.7          184.99         258.883     3.77713e-17        0.960889        -1.34556      -0.0296056        -131.073         95.5636         -47.609       0.0812737         0.80871
            0.75         106.151         219.133     9.19725e-19         1.25839       -0.919671         1.32455        -111.238         55.7304         -55.312        0.297444        0.858115
             0.8          126.29         240.398    -5.42983e-17         1.26841        -0.70722        0.393127        -123.096         65.0979        -58.8434        0.165631        0.713159
            0.85         123.786         245.395    -3.18369e-17        0.882726       -0.934745        -1.87186        -127.899         64.9123        -37.6342        0.294777        0.688476
             0.9         206.955         304.269    -4.24533e-18        0.569972        -1.27048        -2.95816        -159.427         109.652        -29.9776         0.37287        0.878423
            0.95         130.471         215.619    -5.23544e-17        0.479756        -1.18222        -1.87238        -113.938         71.9981        -15.0282        0.205324        0.752008
               1         130.656         211.234    -4.91607e-17        0.695257       -0.693843        0.371837        -110.294          70.582        -14.6297         0.16571        0.834955
            1.05         128.099         186.295    -8.97754e-18        0.895934        -0.45905         0.72568        -98.1242         68.5368        -6.54034        0.229486        0.817918
